Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-September-2018,28.00,28.00,28.00,28.00,28.000000000000000000,4000,1,112000.00,4000,100.00,0.00,0.00
12-September-2018,29.40,29.50,29.00,29.00,29.308333333333333333,24000,6,703400.00,16000,66.67,0.50,-0.40
11-September-2018,28.20,28.20,28.20,28.20,28.200000000000000000,4000,1,112800.00,4000,100.00,0.00,0.00
10-September-2018,29.00,29.00,29.00,29.00,29.000000000000000000,20000,3,580000.00,20000,100.00,0.00,0.00
7-September-2018,28.00,28.00,28.00,28.00,28.000000000000000000,4000,1,112000.00,4000,100.00,0.00,0.00
28-August-2018,28.00,29.90,28.00,29.90,28.966666666666666666,12000,3,347600.00,4000,33.33,1.90,1.90
24-August-2018,29.75,29.95,29.75,29.95,29.850000000000000000,24000,3,716400.00,24000,100.00,0.20,0.20
16-August-2018,32.00,32.00,32.00,32.00,32.000000000000000000,4000,1,128000.00,4000,100.00,0.00,0.00
10-August-2018,29.95,29.95,29.95,29.95,29.950000000000000000,4000,1,119800.00,4000,100.00,0.00,0.00
8-August-2018,29.95,29.95,29.95,29.95,29.950000000000000000,16000,1,479200.00,16000,100.00,0.00,0.00
3-August-2018,30.20,31.20,30.20,31.20,30.450000000000000000,16000,2,487200.00,12000,75.00,1.00,1.00
2-August-2018,30.20,30.20,30.20,30.20,30.200000000000000000,8000,1,241600.00,8000,100.00,0.00,0.00
30-July-2018,31.00,31.00,31.00,31.00,31.000000000000000000,4000,1,124000.00,4000,100.00,0.00,0.00
26-July-2018,29.00,29.00,29.00,29.00,29.000000000000000000,4000,1,116000.00,4000,100.00,0.00,0.00
25-July-2018,32.40,32.40,32.40,32.40,32.400000000000000000,4000,1,129600.00,4000,100.00,0.00,0.00
23-July-2018,29.75,30.00,29.75,30.00,29.850000000000000000,12000,3,358200.00,0,0.00,0.25,0.25
20-July-2018,31.00,31.00,31.00,31.00,31.000000000000000000,4000,1,124000.00,4000,100.00,0.00,0.00
